time,open,high,low,close,Volume
1746443400,23289.8,23301.78,23286.78,23300.78,320
1746443700,23300.78,23303.28,23285.29,23285.79,315
1746444000,23285.79,23285.8,23268.28,23268.8,260
1746444300,23268.8,23276.3,23267.79,23268.78,302
1746444600,23268.78,23274.3,23256.79,23266.8,287
1746444900,23266.8,23274.3,23259.29,23261.79,284
1746445200,23261.79,23276.8,23261.28,23276.8,268
1746445500,23276.8,23295.28,23276.78,23288.8,210
1746445800,23288.8,23305.79,23284.28,23296.29,314
1746446100,23296.29,23302.78,23290.78,23301.78,270
1746446400,23301.78,23320.79,23301.78,23307.28,499
1746446700,23307.28,23333.28,23298.8,23332.79,335
1746447000,23332.79,23345.8,23321.28,23333.3,367
1746447300,23333.3,23335.79,23317.8,23321.79,308
1746447600,23321.79,23328.79,23316.29,23323.79,303
1746447900,23323.79,23325.79,23313.78,23324.79,295
1746448200,23324.79,23333.28,23315.79,23330.29,387
1746448500,23330.29,23341.3,23329.3,23336.29,375
1746448800,23336.29,23355.78,23335.79,23353.78,330
1746449100,23353.78,23355.8,23332.78,23332.8,360
1746449400,23332.8,23349.8,23330.8,23343.79,250
1746449700,23343.79,23351.8,23343.28,23350.79,261
1746450000,23350.79,23365.78,23340.8,23352.8,393
1746450300,23352.8,23352.8,23327.3,23330.29,247
1746450600,23330.29,23337.8,23298.78,23299.29,485
1746450900,23299.29,23319.28,23292.79,23317.29,360
1746451200,23317.29,23330.3,23315.8,23328.29,293
1746451500,23328.29,23345.8,23326.78,23342.29,672
1746451800,23342.29,23342.8,23300.8,23313.79,1218
1746452100,23313.79,23321.3,23306.78,23315.29,805
1746452400,23315.29,23333.3,23308.3,23329.3,676
1746452700,23329.3,23344.29,23316.29,23333.29,776
1746453000,23333.29,23336.79,23316.3,23328.28,717
1746453300,23328.28,23350.29,23323.78,23343.8,639
1746453600,23343.8,23375.79,23343.8,23354.8,786
1746453900,23354.8,23355.29,23335.3,23351.28,809
1746454200,23351.28,23381.29,23345.78,23373.8,869
1746454500,23373.8,23390.3,23371.29,23385.28,689
1746454800,23385.28,23390.29,23366.3,23368.29,649
1746455100,23368.29,23377.3,23364.79,23375.29,774
1746455400,23375.29,23390.8,23374.78,23384.28,579
1746455700,23384.28,23409.8,23381.8,23406.79,660
1746456000,23406.79,23407.8,23397.78,23406.29,656
1746456300,23406.29,23413.78,23402.28,23408.79,512
1746456600,23408.79,23415.3,23398.78,23409.79,803
1746456900,23409.79,23414.3,23403.78,23413.29,444
1746457200,23413.29,23419.8,23408.79,23416.78,668
1746457500,23416.78,23417.3,23394.28,23400.78,761
1746457800,23400.78,23414.78,23396.78,23409.79,644
1746458100,23409.79,23412.8,23403.29,23409.79,564
1746458400,23409.79,23426.29,23408.28,23416.78,490
1746458700,23416.78,23417.8,23391.8,23395.79,503
1746459000,23395.79,23411.8,23390.28,23401.79,521
1746459300,23401.79,23405.3,23386.78,23391.28,469
1746459600,23391.28,23405.29,23389.8,23404.78,483
1746459900,23404.78,23420.28,23404.28,23410.8,404
1746460200,23410.8,23425.29,23410.8,23420.29,294
1746460500,23420.29,23425.29,23414.78,23424.28,390
1746460800,23424.28,23443.45,23421.44,23440.94,482
1746461100,23440.94,23451.45,23438.93,23446.43,392
1746461400,23446.43,23450.45,23440.45,23443.45,291
1746461700,23443.45,23455.45,23439.95,23454.95,319
1746462000,23454.95,23455.93,23446.43,23453.94,263
1746462300,23453.94,23459.45,23450.93,23455.95,336
1746462600,23455.95,23455.95,23442.45,23450.45,330
1746462900,23450.45,23455.45,23446.43,23451.93,302
1746463200,23451.93,23456.43,23446.93,23447.43,194
1746463500,23447.43,23450.45,23444.43,23448.45,238
1746463800,23448.45,23451.45,23441.94,23444.45,254
1746464100,23444.45,23444.94,23433.43,23434.45,235
1746464400,23434.45,23434.45,23420.44,23420.44,478
1746464700,23420.44,23425.44,23416.93,23420.93,321
1746465000,23420.93,23429.44,23419.43,23420.43,278
1746465300,23420.43,23425.95,23413.43,23419.44,303
1746465600,23419.44,23422.93,23414.43,23417.95,218
1746465900,23417.95,23423.45,23414.45,23417.44,224
1746466200,23417.44,23434.95,23415.43,23433.94,326
1746466500,23433.94,23438.93,23431.94,23436.93,189
1746466800,23436.93,23440.45,23433.43,23437.43,132
1746467100,23437.43,23448.95,23436.93,23448.43,166
1746467400,23448.43,23452.45,23442.95,23443.95,219
1746467700,23443.95,23444.94,23438.43,23438.43,263
1746468000,23438.43,23449.45,23437.94,23447.94,199
1746468300,23447.94,23458.45,23444.44,23454.93,259
1746468600,23454.93,23465.93,23451.45,23465.43,154
1746468900,23465.43,23467.44,23457.93,23458.44,193
1746469200,23458.44,23460.94,23457.45,23459.45,103
1746469500,23459.45,23461.45,23453.93,23455.44,138
1746469800,23455.44,23469.95,23454.43,23467.43,225
1746470100,23467.43,23467.43,23462.43,23463.94,146
1746470400,23463.94,23469.45,23460.43,23463.94,148
1746470700,23463.94,23464.95,23457.43,23460.95,166
1746471000,23460.95,23460.95,23449.93,23450.93,185
1746471300,23450.93,23451.45,23442.44,23447.45,308
1746471600,23447.45,23450.94,23436.44,23450.44,468
1746471900,23450.44,23453.43,23441.44,23445.95,286
1746472200,23445.95,23449.45,23440.43,23446.45,385
1746472500,23446.45,23451.95,23444.44,23445.94,394
1746472800,23445.94,23448.44,23435.43,23438.43,416
1746473100,23438.43,23447.45,23437.44,23445.44,440
1746473400,23445.44,23445.94,23437.95,23443.94,419
1746473700,23443.94,23456.45,23443.44,23448.44,373
1746474000,23448.44,23450.95,23431.93,23436.45,348
1746474300,23436.45,23437.45,23423.93,23431.43,480
1746474600,23431.43,23436.45,23402.43,23406.43,968
1746474900,23406.43,23414.45,23395.93,23406.68,653
1746491400,23406.68,23406.68,23376.41,23383.43,121
1746491700,23383.43,23385.43,23362.41,23368.91,179
1746492000,23368.91,23369.93,23358.42,23359.92,114
1746492300,23359.92,23369.41,23358.91,23362.91,131
1746492600,23362.91,23372.91,23361.91,23365.41,94
1746492900,23365.41,23373.43,23363.42,23368.41,105
1746493200,23368.41,23378.42,23362.92,23374.92,206
1746493500,23374.92,23375.93,23360.92,23375.93,237
1746493800,23375.93,23380.41,23370.41,23376.41,206
1746494100,23376.41,23376.93,23362.43,23364.41,119
1746494400,23364.41,23378.42,23362.66,23365.93,105
1746494700,23365.93,23369.93,23357.91,23357.91,201
1746495000,23357.91,23362.42,23349.92,23352.41,205
1746495300,23352.41,23356.93,23342.91,23342.91,138
1746495600,23342.91,23350.93,23338.42,23340.41,136
1746495900,23340.41,23347.42,23337.42,23340.41,133
1746496200,23340.41,23344.42,23335.67,23343.93,138
1746496500,23343.93,23356.41,23343.91,23348.42,213
1746496800,23348.42,23357.42,23345.42,23350.43,185
1746497100,23350.43,23353.41,23341.67,23345.42,107
1746497400,23345.42,23353.92,23342.68,23349.41,147
